model,component,interest,sparsity,endog,exog,component_time,success,success_time,accuracy,execution_id
timeDecisionTree,Sensor-0.25_0_0.6,-0.0135738574649908,0.0410958904109589,1,0,211,20,-1,-0.2995268549514813,I-122-9-5
timeDecisionTree,Sensor-0.5_0_0.2,-7.5368191281538515,0.0410958904109589,1,0,203,20,-1,-39.49708476603367,I-122-9-5
timeDecisionTree,Sensor-0.5_0_0.4,-4.170874480102782e-05,0.0410958904109589,1,0,210,20,-1,-0.3310166659252456,I-122-9-5
timeDecisionTree,Sensor-0.5_0_0.6,-2.1933176290088268,0.0410958904109589,1,0,203,20,-1,-1.3930023511123777,I-122-9-5
timeDecisionTree,Sensor-0.8_0_0.2,-3.5371085157161017,0.0410958904109589,1,0,203,20,-1,-41.013672392234646,I-122-9-5
timeDecisionTree,Sensor-0.8_0_0.4,-2.3803734719849863,0.0410958904109589,1,0,202,20,-1,-13.140734290796088,I-122-9-5
timeDecisionTree,Sensor-0.8_0_0.6,-0.6487693411100082,0.0410958904109589,1,0,210,20,-1,-4.510292436356559,I-122-9-5
timeRandomForest,Sensor-0.25_0_0.2,-2.5026041666666266,0.0410958904109589,1,0,445,20,-1,-7.111111111111024,I-122-9-5
timeRandomForest,Sensor-0.25_0_0.4,-0.609226168820133,0.0410958904109589,1,0,450,20,-1,-0.8846492797243237,I-122-9-5
timeRandomForest,Sensor-0.25_0_0.6,-0.3160086118644833,0.0410958904109589,1,0,449,20,-1,-0.0006816465849774,I-122-9-5
timeRandomForest,Sensor-0.5_0_0.2,-11.768932341584671,0.0410958904109589,1,0,446,20,-1,-57.59113635986107,I-122-9-5
timeRandomForest,Sensor-0.5_0_0.4,-0.032276363869405,0.0410958904109589,1,0,455,20,-1,-0.1398800657483667,I-122-9-5
timeRandomForest,Sensor-0.5_0_0.6,-4.08542332965851,0.0410958904109589,1,0,449,20,-1,-2.877555633724871,I-122-9-5
timeRandomForest,Sensor-0.8_0_0.2,-3.115700913751952,0.0410958904109589,1,0,452,20,-1,-37.33755091432236,I-122-9-5
timeRandomForest,Sensor-0.8_0_0.4,-1.90378333173876,0.0410958904109589,1,0,449,20,-1,-11.221821878683908,I-122-9-5
timeRandomForest,Sensor-0.8_0_0.6,-0.3812158410489872,0.0410958904109589,1,0,449,20,-1,-3.3774594920076035,I-122-9-5
univariateTS,Sensor-0.25_0_0.2,0.5047497496005285,0.0410958904109589,1,0,21857,21,21856,0.0264211751032722,I-122-9-5
univariateTS,Sensor-0.25_0_0.4,0.3473471690776862,0.0410958904109589,1,0,19942,21,19940,0.2849907178164204,I-122-9-5
univariateTS,Sensor-0.25_0_0.6,0.911929637106923,0.0410958904109589,1,0,26703,21,26700,0.8365805712178389,I-122-9-5
univariateTS,Sensor-0.5_0_0.2,0.7554877421943087,0.0410958904109589,1,0,21433,21,21432,0.1635698071168266,I-122-9-5
univariateTS,Sensor-0.5_0_0.4,0.8865633203163708,0.0410958904109589,1,0,18758,21,18758,0.9185384784284442,I-122-9-5
univariateTS,Sensor-0.5_0_0.6,-0.1179767910192559,0.0410958904109589,1,0,20325,21,20324,-0.0087706305514534,I-122-9-5
univariateTS,Sensor-0.8_0_0.2,0.931762220323754,0.0410958904109589,1,0,27953,21,27953,0.4817903142114894,I-122-9-5
univariateTS,Sensor-0.8_0_0.4,0.9738533580231972,0.0410958904109589,1,0,24151,21,24152,0.9552283699632144,I-122-9-5
univariateTS,Sensor-0.8_0_0.6,0.9868061184800696,0.0410958904109589,1,0,21729,21,21725,0.9624945043511456,I-122-9-5
