execution_id,model,time
28c8bec3-a9e5-45b6-9e07-80a49b8c66d0,timeRandomForest,962
28c8bec3-a9e5-45b6-9e07-80a49b8c66d0,univariateTS,9106
e8f2237d-adb9-4b6a-a50a-451943f53df3,pivot,1
e8f2237d-adb9-4b6a-a50a-451943f53df3,timeDecisionTree,707
6f22c8a7-3053-42ce-98c7-32917df1e9e7,pivot,1
6f22c8a7-3053-42ce-98c7-32917df1e9e7,univariateTS,59921
eff44770-da41-4187-8ea7-0de265d84dbb,pivot,1
eff44770-da41-4187-8ea7-0de265d84dbb,univariateTS,60062
eff44770-da41-4187-8ea7-0de265d84dbb,timeDecisionTree,597
eff44770-da41-4187-8ea7-0de265d84dbb,timeRandomForest,906
eff44770-da41-4187-8ea7-0de265d84dbb,decisionTree,227
eff44770-da41-4187-8ea7-0de265d84dbb,randomForest,482
Cimice-202-2,pivot,4
Cimice-202-2,univariateTS,27025
Cimice-202-2,timeDecisionTree,601
Cimice-202-2,timeRandomForest,851
Cimice-202-2,decisionTree,284
Cimice-202-2,randomForest,469
Cimice-202-1,pivot,4
Cimice-202-1,univariateTS,19825
Cimice-202-1,timeDecisionTree,584
Cimice-202-1,timeRandomForest,886
Cimice-202-1,decisionTree,224
Cimice-202-1,randomForest,468
Cimice-202-0,pivot,4
Cimice-202-0,univariateTS,17487
Cimice-202-0,timeDecisionTree,539
Cimice-202-0,timeRandomForest,764
Cimice-202-0,decisionTree,215
Cimice-202-0,randomForest,518
Cimice-200-1,pivot,4
Cimice-200-1,univariateTS,30380
Cimice-200-1,timeDecisionTree,582
Cimice-200-1,timeRandomForest,827
Cimice-200-1,decisionTree,277
Cimice-200-1,randomForest,462
Cimice-200-0,pivot,3
Cimice-200-0,univariateTS,27228
Cimice-200-0,timeDecisionTree,590
Cimice-200-0,timeRandomForest,845
Cimice-200-0,decisionTree,216
Cimice-200-0,randomForest,518
Cimice-117-3,pivot,4
Cimice-117-3,univariateTS,10234
Cimice-117-3,timeDecisionTree,604
Cimice-117-3,timeRandomForest,865
Cimice-117-3,decisionTree,286
Cimice-117-3,randomForest,481
Cimice-117-2,pivot,4
Cimice-117-2,univariateTS,33715
Cimice-117-2,timeDecisionTree,605
Cimice-117-2,timeRandomForest,859
Cimice-117-2,decisionTree,282
Cimice-117-2,randomForest,474
Cimice-117-1,pivot,4
Cimice-117-1,univariateTS,25682
Cimice-117-1,timeDecisionTree,598
Cimice-117-1,timeRandomForest,844
Cimice-117-1,decisionTree,280
Cimice-117-1,randomForest,469
Cimice-117-0,pivot,3
Cimice-117-0,univariateTS,27334
Cimice-117-0,timeDecisionTree,574
Cimice-117-0,timeRandomForest,819
Cimice-117-0,decisionTree,207
Cimice-117-0,randomForest,512
Cimice-119-2,pivot,5
Cimice-119-2,univariateTS,76576
Cimice-119-2,multivariateTS,60583
Cimice-119-2,timeDecisionTree,2977
Cimice-119-2,timeRandomForest,3631
Cimice-119-2,decisionTree,225
Cimice-119-2,randomForest,482
Cimice-119-1,pivot,4
Cimice-119-1,univariateTS,52119
Cimice-119-1,multivariateTS,19118
Cimice-119-1,timeDecisionTree,1538
Cimice-119-1,timeRandomForest,2009
Cimice-119-1,decisionTree,220
Cimice-119-1,randomForest,485
Cimice-119-0,pivot,4
Cimice-119-0,univariateTS,26982
Cimice-119-0,timeDecisionTree,597
Cimice-119-0,timeRandomForest,833
Cimice-119-0,decisionTree,281
Cimice-119-0,randomForest,463
Cimice-114-Test4,pivot,4
