model,component,interest,sparsity,endog,exog,component_time,execution_id
timeRandomForest,Sensor-0.3_0_0.6,-5.29770614255191,0.2953367875647668,1,2,241,I11
decisionTree,ALL,-52.15180037226137,0.0984455958549222,-1,-1,121,I11
randomForest,ALL,-60.17560291888064,0.0984455958549222,-1,-1,246,I11
univariateTS,Sensor-0.3_0_0.6,-12.319662969563195,0.2989690721649484,1,2,13976,I10
multivariateTS,ALL,-294.5787595423003,0.2989690721649484,3,0,20047,I10
timeDecisionTree,Sensor-0.3_0_0.6,-2.9770732822606814,0.2989690721649484,1,2,111,I10
timeRandomForest,Sensor-0.3_0_0.6,-6.227285416791162,0.2989690721649484,1,2,231,I10
decisionTree,ALL,-96.90488511488552,0.0996563573883161,-1,-1,118,I10
randomForest,ALL,-92.2339962116743,0.0996563573883161,-1,-1,238,I10
univariateTS,Sensor-0.3_0_0.4,0.8760750793745595,0.1993067590987868,1,1,77999,I9
multivariateTS,ALL,-19.33505798834321,0.1993067590987868,2,0,24153,I9
timeDecisionTree,Sensor-0.3_0_0.4,-3.1512518434030072,0.1993067590987868,1,1,115,I9
timeRandomForest,Sensor-0.3_0_0.4,-3.1268873943129734,0.1993067590987868,1,1,239,I9
decisionTree,ALL,-1.6274599894466224,0.0996533795493934,-1,-1,125,I9
randomForest,ALL,-1.6742584987348894,0.0996533795493934,-1,-1,255,I9
univariateTS,Sensor-0.3_0_0.4,-2.0128042295824664,0.2,1,1,53476,I8
multivariateTS,ALL,-1.8896021871067816,0.2,2,0,12899,I8
timeDecisionTree,Sensor-0.3_0_0.4,-5.640238087845713,0.2,1,1,112,I8
timeRandomForest,Sensor-0.3_0_0.4,-5.66860303695214,0.2,1,1,235,I8
decisionTree,ALL,-7.218641411333621,0.1,-1,-1,121,I8
randomForest,ALL,-7.129225147474397,0.1,-1,-1,246,I8
univariateTS,Sensor-0.3_0_0.4,0.5391356679739476,0.1972318339100346,1,1,46794,I7
multivariateTS,ALL,-1.2739247997826542,0.1972318339100346,2,0,14190,I7
timeDecisionTree,Sensor-0.3_0_0.4,-2.561535681083837,0.1972318339100346,1,1,111,I7
timeRandomForest,Sensor-0.3_0_0.4,-2.6014661090765663,0.1972318339100346,1,1,229,I7
decisionTree,ALL,-14.862752690972776,0.0986159169550173,-1,-1,115,I7
randomForest,ALL,-14.641830901846935,0.0986159169550173,-1,-1,238,I7
univariateTS,Sensor-0.3_0_0.4,0.5582157622768564,0.1968911917098445,1,1,30963,I6
multivariateTS,ALL,0.0220262137370981,0.1968911917098445,2,0,9281,I6
timeDecisionTree,Sensor-0.3_0_0.4,-0.1901026232636142,0.1968911917098445,1,1,110,I6
timeRandomForest,Sensor-0.3_0_0.4,-0.3779277318572085,0.1968911917098445,1,1,235,I6
decisionTree,ALL,-1.0102057479556632,0.0984455958549222,-1,-1,121,I6
randomForest,ALL,-0.1454896370640837,0.0984455958549222,-1,-1,237,I6
univariateTS,Sensor-0.3_0_0.4,-124.1822358859162,0.1958762886597938,1,1,13529,I5
multivariateTS,ALL,-252.3165084254069,0.1958762886597938,2,0,6590,I5
timeDecisionTree,Sensor-0.3_0_0.4,-0.1176470588235294,0.1958762886597938,1,1,107,I5
timeRandomForest,Sensor-0.3_0_0.4,-2.117436575625373,0.1958762886597938,1,1,227,I5
decisionTree,ALL,-1.4700772673982128,0.0979381443298969,-1,-1,114,I5
randomForest,ALL,-1.3952344485320936,0.0979381443298969,-1,-1,235,I5
univariateTS,Sensor-0.3_0_0.2,-2.413997522754153,0.0987868284228769,1,0,120029,I4
timeDecisionTree,Sensor-0.3_0_0.2,-0.3561791711661515,0.0987868284228769,1,0,111,I4
timeRandomForest,Sensor-0.3_0_0.2,-0.246442593727016,0.0987868284228769,1,0,232,I4
decisionTree,ALL,-0.3561791711661515,0.0987868284228769,-1,-1,113,I4
randomForest,ALL,-0.246442593727016,0.0987868284228769,-1,-1,230,I4
univariateTS,Sensor-0.3_0_0.2,0.4520943298224121,0.0987012987012987,1,0,75381,I3
timeDecisionTree,Sensor-0.3_0_0.2,-3.542383908557849,0.0987012987012987,1,0,114,I3
timeRandomForest,Sensor-0.3_0_0.2,-3.608719412623637,0.0987012987012987,1,0,239,I3
decisionTree,ALL,-3.542383908557849,0.0987012987012987,-1,-1,114,I3
randomForest,ALL,-3.608719412623637,0.0987012987012987,-1,-1,240,I3
univariateTS,Sensor-0.3_0_0.2,-6.396293920000973,0.0968858131487889,1,0,43762,I2
timeDecisionTree,Sensor-0.3_0_0.2,-3.671473601409448,0.0968858131487889,1,0,112,I2
timeRandomForest,Sensor-0.3_0_0.2,-4.885038494994324,0.0968858131487889,1,0,236,I2
decisionTree,ALL,-3.671473601409448,0.0968858131487889,-1,-1,111,I2
randomForest,ALL,-4.885038494994324,0.0968858131487889,-1,-1,232,I2
univariateTS,Sensor-0.3_0_0.2,0.8486811621611755,0.0984455958549222,1,0,37921,I1
timeDecisionTree,Sensor-0.3_0_0.2,-2.8817086787794817,0.0984455958549222,1,0,111,I1
timeRandomForest,Sensor-0.3_0_0.2,-2.7244562516908086,0.0984455958549222,1,0,229,I1
decisionTree,ALL,-2.8817086787794817,0.0984455958549222,-1,-1,110,I1
randomForest,ALL,-2.7244562516908086,0.0984455958549222,-1,-1,287,I1
univariateTS,Sensor-0.3_0_0.2,-4.470510684377183,0.0927835051546391,1,0,17496,I0
timeDecisionTree,Sensor-0.3_0_0.2,-4.693820627262266,0.0927835051546391,1,0,110,I0
timeRandomForest,Sensor-0.3_0_0.2,-14.09381134416412,0.0927835051546391,1,0,237,I0
decisionTree,ALL,-4.693820627262266,0.0927835051546391,-1,-1,110,I0
randomForest,ALL,-14.09381134416412,0.0927835051546391,-1,-1,288,I0
univariateTS,Sensor-0.3_0_0.6,0.6561944234229704,0.2998266897746967,1,2,76976,I14
multivariateTS,ALL,-3.997757986959856,0.2998266897746967,3,0,48104,I14
timeDecisionTree,Sensor-0.3_0_0.6,-2.053872350916225,0.2998266897746967,1,2,109,I14
timeRandomForest,Sensor-0.3_0_0.6,-2.490785571306325,0.2998266897746967,1,2,233,I14
decisionTree,ALL,-19.27110946368332,0.0999422299248989,-1,-1,126,I14
randomForest,ALL,-18.175217161056544,0.0999422299248989,-1,-1,260,I14
univariateTS,Sensor-0.3_0_0.6,0.6477985567005603,0.2987012987012987,1,2,51016,I13
multivariateTS,ALL,-3.5333936677416973,0.2987012987012987,3,0,39217,I13
timeDecisionTree,Sensor-0.3_0_0.6,-1.3318212641938918,0.2987012987012987,1,2,112,I13
timeRandomForest,Sensor-0.3_0_0.6,-1.005980364391415,0.2987012987012987,1,2,240,I13
decisionTree,ALL,-129.3445664903128,0.0995670995670995,-1,-1,125,I13
randomForest,ALL,-130.03817428896906,0.0995670995670995,-1,-1,257,I13
univariateTS,Sensor-0.3_0_0.6,-0.1551453648050338,0.2975778546712803,1,2,35405,I12
multivariateTS,ALL,0.4142121632919742,0.2975778546712803,3,0,30851,I12
timeDecisionTree,Sensor-0.3_0_0.6,-0.4205971815073686,0.2975778546712803,1,2,113,I12
timeRandomForest,Sensor-0.3_0_0.6,-0.0210713599480383,0.2975778546712803,1,2,239,I12
decisionTree,ALL,-189.5316406146844,0.09919261822376,-1,-1,124,I12
randomForest,ALL,-454.6120857854687,0.09919261822376,-1,-1,250,I12
univariateTS,Sensor-0.3_0_0.6,-16.48958492516769,0.2953367875647668,1,2,26169,I11
multivariateTS,ALL,-22.69339532181628,0.2953367875647668,3,0,28905,I11
timeDecisionTree,Sensor-0.3_0_0.6,-5.6050379178355865,0.2953367875647668,1,2,112,I11
timeRandomForest,Sensor-0.3_0_0.6,-5.29770614255191,0.2953367875647668,1,2,230,I11
decisionTree,ALL,-52.15180037226137,0.0984455958549222,-1,-1,118,I11
randomForest,ALL,-60.17560291888064,0.0984455958549222,-1,-1,239,I11
univariateTS,Sensor-0.3_0_0.6,-12.319662969563195,0.2989690721649484,1,2,14074,I10
multivariateTS,ALL,-294.5787595423003,0.2989690721649484,3,0,19689,I10
timeDecisionTree,Sensor-0.3_0_0.6,-2.9770732822606814,0.2989690721649484,1,2,112,I10
timeRandomForest,Sensor-0.3_0_0.6,-6.227285416791162,0.2989690721649484,1,2,238,I10
decisionTree,ALL,-96.90488511488552,0.0996563573883161,-1,-1,117,I10
randomForest,ALL,-92.2339962116743,0.0996563573883161,-1,-1,239,I10
univariateTS,Sensor-0.3_0_0.4,0.8760750793745595,0.1993067590987868,1,1,77626,I9
multivariateTS,ALL,-19.33505798834321,0.1993067590987868,2,0,24027,I9
timeDecisionTree,Sensor-0.3_0_0.4,-3.1512518434030072,0.1993067590987868,1,1,116,I9
timeRandomForest,Sensor-0.3_0_0.4,-3.1268873943129734,0.1993067590987868,1,1,240,I9
decisionTree,ALL,-1.6274599894466224,0.0996533795493934,-1,-1,121,I9
randomForest,ALL,-1.6742584987348894,0.0996533795493934,-1,-1,250,I9
univariateTS,Sensor-0.3_0_0.4,-2.0128042295824664,0.2,1,1,53196,I8
multivariateTS,ALL,-1.8896021871067816,0.2,2,0,13350,I8
timeDecisionTree,Sensor-0.3_0_0.4,-5.640238087845713,0.2,1,1,112,I8
timeRandomForest,Sensor-0.3_0_0.4,-5.66860303695214,0.2,1,1,236,I8
decisionTree,ALL,-7.218641411333621,0.1,-1,-1,121,I8
randomForest,ALL,-7.129225147474397,0.1,-1,-1,246,I8
univariateTS,Sensor-0.3_0_0.4,0.5391356679739476,0.1972318339100346,1,1,47546,I7
multivariateTS,ALL,-1.2739247997826542,0.1972318339100346,2,0,13617,I7
timeDecisionTree,Sensor-0.3_0_0.4,-2.561535681083837,0.1972318339100346,1,1,109,I7
timeRandomForest,Sensor-0.3_0_0.4,-2.6014661090765663,0.1972318339100346,1,1,231,I7
decisionTree,ALL,-14.862752690972776,0.0986159169550173,-1,-1,117,I7
randomForest,ALL,-14.641830901846935,0.0986159169550173,-1,-1,242,I7
univariateTS,Sensor-0.3_0_0.4,0.5582157622768564,0.1968911917098445,1,1,30798,I6
multivariateTS,ALL,0.0220262137370981,0.1968911917098445,2,0,10548,I6
timeDecisionTree,Sensor-0.3_0_0.4,-0.1901026232636142,0.1968911917098445,1,1,111,I6
timeRandomForest,Sensor-0.3_0_0.4,-0.3779277318572085,0.1968911917098445,1,1,236,I6
decisionTree,ALL,-1.0102057479556632,0.0984455958549222,-1,-1,120,I6
randomForest,ALL,-0.1454896370640837,0.0984455958549222,-1,-1,243,I6
univariateTS,Sensor-0.3_0_0.4,-124.1822358859162,0.1958762886597938,1,1,14987,I5
multivariateTS,ALL,-252.3165084254069,0.1958762886597938,2,0,7411,I5
timeDecisionTree,Sensor-0.3_0_0.4,-0.1176470588235294,0.1958762886597938,1,1,112,I5
timeRandomForest,Sensor-0.3_0_0.4,-2.117436575625373,0.1958762886597938,1,1,235,I5
decisionTree,ALL,-1.4700772673982128,0.0979381443298969,-1,-1,118,I5
randomForest,ALL,-1.3952344485320936,0.0979381443298969,-1,-1,240,I5
univariateTS,Sensor-0.3_0_0.2,-2.413997522754153,0.0987868284228769,1,0,128861,I4
timeDecisionTree,Sensor-0.3_0_0.2,-0.3561791711661515,0.0987868284228769,1,0,116,I4
timeRandomForest,Sensor-0.3_0_0.2,-0.246442593727016,0.0987868284228769,1,0,240,I4
decisionTree,ALL,-0.3561791711661515,0.0987868284228769,-1,-1,129,I4
randomForest,ALL,-0.246442593727016,0.0987868284228769,-1,-1,262,I4
univariateTS,Sensor-0.3_0_0.2,0.4520943298224121,0.0987012987012987,1,0,79868,I3
timeDecisionTree,Sensor-0.3_0_0.2,-3.542383908557849,0.0987012987012987,1,0,111,I3
timeRandomForest,Sensor-0.3_0_0.2,-3.608719412623637,0.0987012987012987,1,0,236,I3
decisionTree,ALL,-3.542383908557849,0.0987012987012987,-1,-1,111,I3
randomForest,ALL,-3.608719412623637,0.0987012987012987,-1,-1,235,I3
univariateTS,Sensor-0.3_0_0.2,-6.396293920000973,0.0968858131487889,1,0,48910,I2
timeDecisionTree,Sensor-0.3_0_0.2,-3.671473601409448,0.0968858131487889,1,0,111,I2
timeRandomForest,Sensor-0.3_0_0.2,-4.885038494994324,0.0968858131487889,1,0,229,I2
decisionTree,ALL,-3.671473601409448,0.0968858131487889,-1,-1,113,I2
randomForest,ALL,-4.885038494994324,0.0968858131487889,-1,-1,229,I2
univariateTS,Sensor-0.3_0_0.2,0.8486811621611755,0.0984455958549222,1,0,39694,I1
timeDecisionTree,Sensor-0.3_0_0.2,-2.8817086787794817,0.0984455958549222,1,0,112,I1
timeRandomForest,Sensor-0.3_0_0.2,-2.7244562516908086,0.0984455958549222,1,0,240,I1
decisionTree,ALL,-2.8817086787794817,0.0984455958549222,-1,-1,125,I1
randomForest,ALL,-2.7244562516908086,0.0984455958549222,-1,-1,302,I1
univariateTS,Sensor-0.3_0_0.2,-4.470510684377183,0.0927835051546391,1,0,17365,I0
timeDecisionTree,Sensor-0.3_0_0.2,-4.693820627262266,0.0927835051546391,1,0,108,I0
timeRandomForest,Sensor-0.3_0_0.2,-14.09381134416412,0.0927835051546391,1,0,230,I0
decisionTree,ALL,-4.693820627262266,0.0927835051546391,-1,-1,111,I0
randomForest,ALL,-14.09381134416412,0.0927835051546391,-1,-1,288,I0
