week_in_year,province,adults,small_instars,total_captures,large_instars,degree_days,avgadults,avgsmall_instars,avgtotal_captures,avglarge_instars,avgdegree_days,temperature,humidity,cum_degree_days,avgcum_degree_days
2021-28,FE,74.85203393098129,225.76055523423943,366.0762483130904,65.46365914786968,2765.499890136725,2.201530409734744,6.640016330418807,10.766948479796776,1.925401739643226,81.33823206284485,23.897499610908024,67.0296802054155,23808.300103759837,700.2441206988187
2021-28,MO,77.0,317.0,584.0,190.0,1913.5999633789097,3.347826086956522,13.782608695652174,25.391304347826086,8.26086956521739,83.1999984077787,24.69513437970087,58.642857142857146,16175.100268554732,703.265229067597
2021-28,PC,1.0,0.0,1.0,0.0,248.7999633789067,0.3333333333333333,0.0,0.3333333333333333,0.0,82.93332112630223,24.047617303757466,54.0,2269.6000976562564,756.5333658854188
2021-28,PR,1.0,3.0,5.0,1.0,213.3000305175786,0.3333333333333333,1.0,1.6666666666666667,0.3333333333333333,71.1000101725262,24.854763406420535,54.011904761904766,2174.7999816894594,724.9333272298198
2021-28,RA,162.57142857142858,239.57142857142858,561.1428571428571,159.0,4526.400122070322,3.187675070028011,4.697478991596639,11.00280112044818,3.1176470588235294,88.75294357000632,24.442910186739105,58.848513849984435,36835.90164184582,722.2725812126631
2021-28,RE,24.0,25.0,94.0,45.0,825.9999877929702,2.4,2.5,9.4,4.5,82.59999877929702,25.31242829095751,58.65559523809525,6855.7994201660385,685.5799420166038
2021-29,BO,105.0,170.0,329.0,54.0,2255.50018920899,5.0,8.095238095238095,15.666666666666666,2.5714285714285716,107.40477091471381,24.33325883892489,61.68218752147323,17228.600512695364,820.4095482235887
2021-29,FC,41.93333333333333,52.3,103.73333333333333,9.5,1163.2001098632834,2.9952380952380953,3.7357142857142858,7.40952380952381,0.6785714285714286,83.08572213309168,24.37304548146777,59.76445578231294,11853.799877929721,846.6999912806943
2021-29,FE,130.3622517833044,291.5251590514749,526.4237516869096,104.53634085213032,3183.3000732421942,3.9503712661607397,8.83409572883257,15.95223489960332,3.1677679046100096,96.4636385830968,25.834170803053578,65.73581048581049,26770.500140380937,811.2272769812405
2021-29,MO,159.0,203.0,510.0,148.0,1796.5998046875031,6.913043478260869,8.826086956521738,22.17391304347826,6.434782608695652,78.11303498641318,24.45074402076613,61.85481366459627,17971.700073242235,781.3782640540103
2021-29,PC,0.0,0.0,0.0,0.0,289.1000122070317,0.0,0.0,0.0,0.0,96.36667073567723,25.9666672479539,55.28571428571426,2558.700109863288,852.900036621096
2021-29,PR,1.0,2.0,3.0,0.0,289.9999267578127,0.3333333333333333,0.6666666666666666,1.0,0.0,96.66664225260423,24.837033743076233,59.989417989418,2464.799908447272,821.5999694824241
2021-29,RA,238.66666666666666,372.8666666666667,785.5333333333333,174.0,4415.200250244149,4.589743589743589,7.170512820512821,15.106410256410257,3.3461538461538463,84.90769712007979,24.284993642590443,66.05547924297925,41881.401928711064,805.4115755521359
2021-29,RE,39.0,19.0,105.0,47.0,840.0001708984388,3.9,1.9,10.5,4.7,84.00001708984388,23.67535939292304,61.93452380952379,7695.799591064478,769.5799591064477
2021-30,BO,160.0,87.0,286.0,39.0,1922.399975585941,8.0,4.35,14.3,1.95,96.11999877929705,26.231630735851486,63.58220238095239,18332.600579834034,916.6300289917018
2021-30,FC,107.5,89.5,223.0,26.0,1598.700335693362,7.678571428571429,6.392857142857143,15.928571428571429,1.8571428571428572,114.19288112095443,26.992776871435307,54.03035714285715,13452.500213623083,960.8928724016488
2021-30,FE,169.02380952380958,114.0,325.0238095238096,42.0,3229.1996765136755,5.281994047619049,3.5625,10.15699404761905,1.3125,100.91248989105236,25.92237455466438,73.07441716269841,29170.799761962968,911.5874925613427
2021-30,MO,273.0,294.0,714.0,147.0,2410.599975585943,11.869565217391305,12.782608695652174,31.043478260869566,6.391304347826087,104.80869459069316,26.001987381551068,65.28446734424995,20382.30004882818,886.1869586447034
2021-30,PC,3.0,1.0,4.0,0.0,274.6999877929692,1.0,0.3333333333333333,1.3333333333333333,0.0,91.5666625976564,25.2809517996652,64.04761904761907,2833.400097656257,944.4666992187524
2021-30,PR,0.0,0.0,0.0,0.0,258.6000610351568,0.0,0.0,0.0,0.0,86.20002034505227,25.8609555199033,65.7809523809524,2723.399969482429,907.7999898274763
2021-30,RA,410.3333333333333,383.6333333333333,966.9666666666667,173.0,5283.999969482431,7.8910256410256405,7.3775641025641026,18.59551282051282,3.326923076923077,101.61538402850829,26.299511856386538,63.20822927072928,47165.40189819349,907.0269595806442
2021-30,RE,78.0,21.0,139.0,40.0,959.0000488281268,7.8,2.1,13.9,4.0,95.90000488281268,26.31000062851683,63.33928571428573,8654.799639892604,865.4799639892605
2021-31,BO,200.0,139.0,359.0,20.0,2204.499645996098,9.523809523809524,6.619047619047619,17.095238095238095,0.9523809523809523,104.9761736188618,25.399827809236534,55.23809523809524,21355.5001342774,1016.9285778227335
2021-31,FC,104.5,61.5,180.0,14.0,1166.7998779296893,8.038461538461538,4.730769230769231,13.846153846153847,1.0769230769230769,89.75383676382225,26.4184058500297,44.727564102564095,13637.199841308633,1049.0153724083564
2021-31,FE,189.33663003662997,87.54065934065935,289.8860805860805,13.008791208791209,2845.8999145507864,5.9167696886446866,2.7356456043956046,9.058940018315015,0.4065247252747253,88.93437232971208,24.39708693464427,64.88298498376624,32016.69967651376,1000.521864891055
2021-31,MO,399.0,323.0,775.0,53.0,1997.9999694824262,17.347826086956523,14.043478260869565,33.69565217391305,2.3043478260869565,86.86956389054026,24.65214799626934,62.45942028985507,22380.300018310605,973.0565225352436
2021-31,PC,14.0,7.0,24.0,3.0,242.3000549316411,4.666666666666667,2.3333333333333335,8.0,1.0,80.7666849772137,23.738097853887666,64.23809523809527,3075.7001525878986,1025.2333841959662
2021-31,PR,1.0,1.0,2.0,0.0,292.7999816894541,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,97.5999938964847,24.394284929548032,63.20952380952383,3016.199951171883,1005.399983723961
2021-31,RA,487.4594594594595,494.8783783783784,1084.8243243243244,102.48648648648648,4755.900079345714,9.374220374220375,9.516891891891891,20.862006237006238,1.970893970893971,91.45961691049452,25.839896524636618,52.07052045177045,51921.30197753922,998.4865764911387
2021-31,RE,94.0,19.0,136.0,23.0,913.3003723144549,9.4,1.9,13.6,2.3,91.33003723144549,24.7428620111375,65.34761904761905,9568.100012207058,956.8100012207059
2021-32,BO,205.0,115.0,353.0,33.0,1872.999987792972,9.761904761904763,5.476190476190476,16.80952380952381,1.5714285714285714,89.19047560918914,26.830135956156568,51.82879818594104,23228.500122070374,1106.1190534319226
2021-32,FC,191.0,163.0,372.0,18.0,1305.4998657226588,13.642857142857142,11.642857142857142,26.571428571428573,1.2857142857142858,93.24999040876133,27.048801934048214,45.57693259121831,15924.79995727543,1137.4857112339594
2021-32,FE,201.3645604395605,91.45934065934065,312.59010989010994,19.766208791208793,3234.200134277351,6.495630981921306,2.9503013115916343,10.08355193193903,0.6376196384260902,104.32903658959196,26.532235617767057,64.45403225806452,34176.599768066495,1102.4709602602095
